S1M1	S2M1	S3M1	S4M1	S5M1	S6M1	S7M1	S8M1	S1M2	S2M2	S3M2	S4M2	S5M2	S6M2	S7M2	S8M2	S1M3	S2M3	S3M3	S4M3	S5M3	S6M3	S7M3	S8M3	S1M4	S2M4	S3M4	S4M4	S5M4	S6M4	S7M4	S8M4	S1M5	S2M5	S3M5	S4M5	S5M5	S6M5	S7M5	S8M5	S1M6	S2M6	S3M6	S4M6	S5M6	S6M6	S7M6	S8M6	S1M7	S2M7	S3M7	S4M7	S5M7	S6M7	S7M7	S8M7	S1M8	S2M8	S3M8	S4M8	S5M8	S6M8	S7M8	S8M8	y
0	-3	-5	-8	0	-9	-3	0	2	1	1	4	8	12	-1	1	-2	-1	1	1	-5	-14	-2	-5	0	-1	-3	-2	17	21	2	-2	2	2	4	4	-13	8	6	8	1	-1	-1	1	0	-3	5	0	-1	3	2	3	-5	-8	-5	-5	-1	-1	0	-3	-6	-8	-5	-2	ok
14	-4	3	7	-12	-17	-1	-10	-33	3	-3	-2	-1	-5	4	-2	34	-6	0	0	12	5	-2	9	5	1	1	0	-20	-10	1	0	9	0	-3	-3	-2	-3	3	9	1	-3	-2	1	12	10	-2	-2	-30	-1	-2	4	12	-14	-3	-8	9	2	-1	0	-3	-3	2	8	tijeras
7	-9	4	7	23	30	-4	15	6	-5	-6	-9	-30	-17	-4	8	-2	14	1	5	-3	-5	-3	-6	28	38	5	4	3	11	-2	10	14	-2	-5	1	10	47	7	-16	-43	8	-7	-4	4	-18	0	-13	13	-49	0	-2	-10	5	17	-16	-8	15	-4	1	28	46	-7	-21	papel
9	1	-3	-7	-4	16	0	2	-15	-12	-1	-2	10	27	-5	-19	-32	-4	-1	3	14	13	4	3	4	4	3	1	-1	-10	3	5	2	-8	-2	-2	-6	3	-4	-2	12	4	4	2	-16	-59	1	11	2	1	-2	-2	24	22	5	-8	7	-2	-1	-2	-6	12	0	6	tijeras
-2	5	1	10	-16	20	11	9	13	34	1	7	27	4	32	-4	-23	-14	9	-8	-10	-22	-18	-16	18	-2	4	8	8	20	31	-5	-9	-27	-15	-18	-5	-59	-32	1	11	9	-11	-1	14	74	4	12	-8	16	9	-4	4	18	1	4	17	7	-3	-11	-35	-88	-25	-2	papel
-11	-7	-2	-5	47	28	0	-3	-19	-3	2	10	-8	-8	-2	-8	12	1	-1	-3	-15	-16	-1	6	7	0	-1	1	16	-16	2	9	-34	3	4	-3	-27	-11	-4	-14	55	-4	-8	-7	44	52	-1	9	2	-4	3	5	-1	5	-3	3	-18	-4	-6	-2	8	-8	-2	-15	tijeras
27	9	2	0	-31	-11	-1	6	-4	-10	-1	1	-7	-6	1	0	-2	-1	-1	-1	11	16	0	-6	2	-1	0	0	10	-4	1	4	-3	-2	-5	-9	-8	6	-2	-1	-3	2	4	6	2	2	2	-3	-6	-2	-3	-4	-2	6	-1	-1	-8	-1	1	1	22	-10	-1	-2	tijeras
-17	-6	-3	-3	-16	-18	78	-36	-2	3	9	23	22	6	-8	11	6	-3	-5	-6	-12	2	-83	1	12	3	-1	-6	14	9	127	27	-5	0	-2	-7	-21	3	-53	-5	-10	-2	-2	4	3	-18	-101	-29	-3	-3	2	2	-9	-13	35	-20	7	0	0	-1	-6	15	-77	-2	piedra
-10	-25	21	3	-23	-48	-5	-17	3	37	3	3	28	-4	-5	-30	3	-6	-1	3	1	20	0	12	6	14	1	2	25	19	6	12	-10	-28	-12	-7	-7	-21	0	-7	8	16	-2	-2	-5	1	6	9	1	-1	4	-5	-24	-40	0	-7	-7	10	-9	-9	12	20	-5	-15	papel
4	-33	-4	5	-2	30	25	5	30	62	-1	-9	-15	-14	-11	-19	-18	-57	3	7	32	-5	1	0	-11	-18	-11	-1	0	3	5	12	22	45	16	0	-19	-26	-11	9	-11	18	-5	-7	-16	-19	6	-9	24	19	5	6	35	11	5	-3	-33	-80	-31	-14	-8	13	-9	-14	papel
9	0	0	1	-4	-5	-7	-10	15	-4	-7	-5	-3	1	-59	-5	-19	2	2	1	8	-4	29	-5	23	1	-4	-2	-11	7	16	11	-24	1	-1	8	5	8	1	-3	-9	-2	1	-4	11	-6	1	-4	16	1	0	-6	-13	-7	11	5	-22	-9	-3	2	3	22	-19	9	piedra
-12	-4	-9	-8	26	-21	-5	-7	22	-6	-7	-21	-47	29	-59	-5	-51	-9	5	0	39	14	42	-8	35	20	-3	6	0	63	39	22	2	-19	-11	-30	7	18	10	3	-9	-7	-3	-34	-45	-25	2	-1	7	-20	-6	-9	-8	-10	-83	-25	12	5	8	19	10	24	82	42	piedra
1	-3	-4	-5	2	14	1	1	-6	-4	-5	-5	25	18	1	-4	-23	-1	4	7	-12	-4	1	2	36	5	0	-1	-20	-9	-4	-3	4	0	-2	-3	42	0	-1	5	-3	4	3	4	-26	-15	0	-6	2	-3	-1	-2	-2	-4	-1	14	-20	-5	0	-1	14	11	-1	-7	tijeras
-12	8	16	30	0	34	28	-12	10	-28	-13	10	17	-14	24	29	-29	4	-4	-26	-36	0	-48	-42	23	-35	2	5	-11	-45	-46	15	-4	48	-18	-17	30	-3	-23	34	0	-15	16	13	-14	-34	14	-11	4	57	1	2	16	59	-3	2	15	-4	-10	-28	-9	-25	-12	45	piedra
-49	-2	2	-7	8	5	14	-2	35	1	0	2	-1	-1	3	3	7	1	0	0	8	-5	-9	1	-8	-1	2	11	0	-2	-2	-4	6	-5	-7	-13	-22	-8	-23	1	-18	-2	-2	-8	21	7	50	-7	2	2	0	6	-8	4	-9	9	0	-3	-2	3	3	7	5	-2	piedra
8	-12	-12	-36	25	-8	-19	16	-36	14	-4	-4	-34	-34	-90	-47	33	-8	2	-1	7	14	106	25	-27	-16	-2	11	22	4	-32	-10	-15	4	4	-18	-8	0	22	20	-18	1	-11	5	-14	3	9	23	-38	-7	14	-9	-16	-17	-32	-23	26	24	7	15	20	14	45	21	piedra
-16	-18	-2	-6	9	30	3	-4	15	44	2	-2	14	15	-1	0	13	-35	-6	-3	-19	-26	-5	-6	-11	-10	0	-2	-10	6	3	2	-20	10	3	-6	-23	-10	-4	-7	21	-45	-9	-2	24	-12	-2	9	-6	-3	-6	-1	-6	3	1	-11	4	30	3	-9	-2	20	2	4	papel
-13	1	1	2	-8	-46	1	-2	33	14	2	2	-28	-33	0	9	0	-9	-2	-5	22	26	-3	-2	-3	0	1	4	-21	-32	-1	-1	2	-3	-2	-4	12	26	2	2	-27	-3	2	-2	1	9	-1	-5	-5	1	0	-1	35	6	2	-3	12	0	-3	-1	-25	22	-5	1	tijeras
-1	10	4	2	-27	46	-5	-15	10	9	1	-2	-1	-36	1	6	6	-8	-5	-5	15	14	9	3	0	-8	0	11	-13	-32	-1	-4	-7	3	2	1	18	-17	-9	-1	2	0	-3	-5	-3	46	2	-7	6	-1	1	-3	-1	-5	-5	6	5	9	-3	-5	0	17	9	2	papel
7	1	2	3	-28	-26	1	-3	-41	-5	-1	-2	-15	-37	-3	-11	16	10	4	7	-13	-8	1	1	-20	-4	-1	0	19	1	1	11	10	-3	-2	-3	18	9	3	0	-20	-4	-3	-1	1	30	-1	-4	16	3	-5	-4	-19	-7	-2	9	-17	-12	-4	-6	9	8	-6	-9	tijeras
-32	-11	-9	-38	22	-18	-10	10	0	10	1	3	6	33	16	10	9	-8	-6	-14	-7	-7	0	-29	19	-2	-4	10	13	15	15	34	49	5	-4	-2	-1	-57	-23	12	-56	-21	7	-4	-4	-32	-15	-12	-5	-1	1	10	14	-30	8	0	-7	0	14	44	-12	25	5	-5	ok
9	-2	-5	-7	10	1	0	1	-16	-3	0	3	-40	-14	-3	-4	25	6	3	0	-11	13	-1	11	5	-1	1	0	-5	-5	-1	4	2	3	1	-1	7	1	-2	-6	-18	-9	-6	-6	19	20	2	5	11	3	2	0	-14	-12	0	-4	-9	1	0	3	29	7	2	0	tijeras
8	3	-2	0	-15	5	7	15	-1	2	-3	-4	-2	-36	-5	-12	-6	-14	-19	-23	-4	-35	-7	-3	18	24	3	3	-4	11	-1	-4	-20	4	5	11	-9	24	-3	-16	-6	-13	2	3	17	5	0	18	1	-9	-14	-5	-1	-2	-2	0	-20	-33	-1	-3	-13	-7	0	-10	papel
-11	1	0	3	-16	8	-7	-16	6	3	3	4	6	35	9	10	-5	-1	0	-2	-10	-33	-3	-7	-3	-5	-2	-3	-1	3	1	11	-3	-2	-4	-6	21	-11	-2	3	3	0	0	0	-12	1	3	-5	0	-2	-5	0	25	25	0	-3	-6	-2	-2	0	15	11	-2	-13	ok
-5	-1	-4	-1	-4	-20	-2	1	4	0	-2	-3	11	33	1	4	-13	-2	-4	-2	-7	-7	-9	-7	12	5	3	1	-5	14	10	5	-5	-2	0	-1	11	-13	1	1	3	-1	-2	-1	1	16	-9	-8	-1	1	1	-3	-1	-22	3	10	-5	1	0	7	-6	52	16	-4	ok
17	0	-2	-3	1	6	2	20	2	4	6	7	16	15	8	2	-1	-2	-6	-7	6	-25	-17	0	8	4	1	0	4	-5	2	2	-9	-4	-2	-4	3	34	2	0	-35	3	3	3	-20	-63	-18	-4	17	1	0	2	-1	-4	4	-1	9	2	-2	-5	4	-11	-6	-9	ok
-8	1	-3	1	-5	-17	0	2	50	4	-1	-1	11	35	-2	1	-10	-1	-1	-1	8	-20	1	-1	0	4	1	2	-16	-5	1	-1	12	-1	-2	-1	-19	-8	1	3	-22	-9	-6	-8	7	9	-4	-3	-9	3	4	5	29	-5	-6	-9	-3	1	3	3	-4	-3	0	5	tijeras
-9	-2	-1	0	-7	-25	-76	-31	-23	5	-7	-8	9	2	119	30	-18	-2	6	1	3	41	-1	7	69	-2	-2	-3	-3	-3	-55	5	14	12	4	-3	-1	-6	29	18	-8	-12	-5	3	-14	21	-5	20	1	2	1	10	17	4	13	-32	-25	-6	-8	-22	-15	2	1	-8	piedra
13	12	-6	-3	-14	10	2	-2	1	12	0	-10	-17	-15	-2	-21	-13	8	0	5	2	-1	1	12	17	5	3	1	-15	26	2	6	18	32	2	-7	44	25	2	5	-7	20	-1	3	-37	-17	-3	-3	-13	13	9	1	-5	6	-1	-2	8	5	-5	-2	-3	-18	-5	-1	papel
-4	-1	1	-1	-10	-28	-6	-2	-16	-5	-1	0	-14	-6	-1	1	-3	5	3	3	-2	-12	3	5	-3	-7	-4	-7	19	24	-1	-6	15	0	-1	3	11	26	1	-4	2	-2	-1	-7	-2	-33	-1	-3	-2	1	4	4	-18	-2	-2	4	-9	0	2	-5	-26	-10	-4	-3	tijeras
-15	-3	1	0	-5	5	1	-9	2	0	2	2	20	-5	0	2	-6	-5	-3	-3	-2	12	0	-2	2	3	1	3	8	-3	3	9	-1	1	0	1	-16	0	-1	-8	0	-1	3	0	46	-6	-2	6	0	1	-2	-1	-24	-1	-2	-2	-26	-6	-1	-1	3	1	-1	4	tijeras
5	-5	-1	11	-3	-1	35	19	-5	-2	-6	-18	-13	14	9	4	-7	-2	1	-1	3	8	11	5	-3	3	2	9	1	1	-27	-1	5	-1	3	5	-15	-52	-128	-35	-18	-3	-7	-12	11	21	128	24	-3	0	0	-2	9	13	-49	25	-7	-1	-2	0	-13	-16	-8	-18	piedra
-2	2	-1	2	-5	-25	-1	2	0	1	-4	-4	6	11	-1	-7	-2	0	-1	-1	-6	-21	0	5	-15	-3	-3	-4	27	43	1	-8	2	-4	-2	-7	2	15	-1	-14	-4	0	3	3	35	10	3	11	-1	-1	0	3	-48	-26	0	-4	80	5	2	-2	-29	-14	-4	11	tijeras
10	-5	-2	2	3	7	-15	-12	-15	-13	2	2	1	-13	10	7	3	3	-31	-2	2	5	-31	-19	1	-2	22	-2	-1	6	-13	32	1	3	-1	1	0	-6	-4	-7	-2	3	2	-2	0	8	39	14	-3	1	8	2	-5	-6	8	10	-35	-1	-11	4	3	-10	-104	-51	piedra
13	-1	-4	-7	2	11	-2	1	-1	-2	-2	-8	16	31	0	-12	-17	-1	2	10	-13	-1	-3	4	-6	0	0	-3	-18	-39	0	-10	-28	-10	-7	-7	23	21	-4	-10	14	4	2	2	-28	1	2	8	17	-1	0	-4	0	-5	-2	-2	-8	-1	-2	-1	19	28	0	1	tijeras
-10	-23	-4	-4	-3	-5	-8	-3	14	5	-6	-6	29	14	1	6	10	-3	1	6	-20	-37	-6	-6	6	-8	-3	-3	10	56	22	21	10	-18	-15	-1	10	-3	-11	-13	25	-8	3	-2	-5	-5	-9	-1	-25	-31	-3	1	25	24	4	-8	1	-9	4	3	-2	-26	-4	7	papel
-47	-7	-6	-7	13	-1	35	-10	10	-5	0	7	-30	-33	-48	-51	34	10	5	-9	23	63	76	49	-27	-7	-7	-3	0	4	-111	-2	-7	6	11	12	2	2	76	3	7	-2	0	-6	21	-3	0	-8	-40	-4	-1	6	-2	-1	-105	-24	47	6	6	4	14	21	111	15	piedra
-2	1	-1	0	12	13	1	20	-9	-1	-1	-1	-10	12	1	2	4	-2	-2	-4	-16	-9	-3	-6	-3	-1	0	-3	1	-3	2	9	-2	0	0	3	6	13	-1	-10	5	0	-5	-5	23	48	-1	-9	6	0	1	2	-7	-25	4	36	-60	-1	3	8	-31	-47	0	-18	tijeras
5	16	-6	0	5	-21	-6	-8	1	3	1	-3	-1	-8	-1	6	-6	10	-2	-4	-6	7	-1	-15	-1	-35	-2	4	6	-19	0	2	0	23	0	-4	-3	37	8	10	-6	-2	1	0	-8	-23	-1	-20	1	2	4	6	12	20	-5	-13	-6	-3	4	-1	4	-16	-5	8	papel
7	2	3	4	-18	0	2	4	-2	-2	0	-2	-12	4	-1	-11	-20	-6	-1	-1	-1	14	-2	-2	-4	-5	-5	-8	-33	1	0	-1	22	7	2	5	-13	-27	-5	-2	-13	-2	3	2	-3	-21	2	9	13	3	-7	-7	8	0	0	4	-8	-9	-2	0	17	10	-2	-3	tijeras
-5	-1	3	3	-12	0	-6	-2	2	2	3	13	-2	-7	-27	-6	0	-1	-1	-1	4	-4	24	4	0	1	2	-4	-1	-2	-4	0	-2	-6	-4	1	6	-4	-21	-20	-2	0	-3	-7	-15	4	23	17	-1	-2	-3	-13	-4	1	-16	-1	4	2	6	8	8	5	31	11	piedra
-4	14	5	-19	-20	15	57	55	25	9	-15	-11	25	-1	21	-43	-21	-5	2	-1	-10	52	75	14	-36	-16	-8	14	9	1	-48	-20	56	1	14	28	23	-12	-20	18	-1	-1	-6	-17	-26	6	-73	-29	-22	3	1	-4	-1	-32	-19	48	13	2	-5	7	-11	-42	-30	8	piedra
-8	4	-3	14	14	-38	-7	-3	43	9	-3	-7	-13	40	11	7	-21	-10	-3	-7	10	-69	-10	-14	39	10	3	-12	-12	56	7	18	1	-13	3	4	-26	-44	-13	-2	-6	-3	4	7	17	15	13	7	19	2	-5	1	3	7	-14	5	1	-4	4	-1	1	-64	-10	-17	ok
-9	-1	2	5	-15	-11	-4	-3	4	-2	-5	-7	11	28	1	-2	-38	-2	-3	-1	-10	-7	-3	-13	47	4	4	3	-2	-24	3	26	-9	-2	-1	-5	-14	-8	-2	0	-6	-3	-1	0	4	2	-1	-4	7	0	5	2	-8	5	-3	-4	-28	-6	-4	-2	21	25	-1	-10	tijeras
-2	-2	-1	-1	22	0	-5	-3	-24	-1	3	2	-6	-7	1	-11	-7	-2	-4	-7	-16	7	-2	8	17	1	1	8	62	19	4	6	-7	0	1	-1	-28	-16	-6	1	-17	-3	-2	-2	4	-1	-1	-20	22	-1	-1	2	26	17	-1	-2	-7	-3	0	0	-44	-33	-5	-4	tijeras
0	10	5	10	-22	-43	0	-6	-1	-6	2	0	-10	-6	-7	-10	-3	3	0	0	1	2	5	27	0	-3	-2	-1	12	5	4	-3	-17	-6	-4	-5	4	19	3	5	13	2	2	3	-20	-26	-1	-1	-17	-3	0	2	-5	-11	-9	-31	-4	1	-2	-1	-11	-2	-1	1	tijeras
6	-3	-2	-4	-11	-27	-4	-12	-7	-3	2	3	0	1	-9	-4	6	1	0	-3	-10	-32	-14	0	0	-3	1	1	-7	23	9	5	-13	-5	-6	-5	0	10	2	0	6	7	-1	-8	6	67	12	8	-2	-12	2	6	5	-26	-8	-10	43	2	1	0	-19	13	-6	36	ok
-8	-7	-9	-8	10	-42	-11	-42	5	28	-4	0	27	70	11	33	51	30	6	2	2	4	6	16	-40	4	5	-1	-18	-19	-4	-6	-7	-18	-17	1	0	6	0	-6	-47	-6	7	-3	-1	1	3	-2	28	-24	-12	-11	5	3	-2	-6	9	34	15	12	23	-7	0	7	papel
2	30	3	-7	-5	-26	-2	-5	15	28	5	2	4	31	5	7	-3	-7	0	-5	-41	-70	-11	-3	-21	-16	-7	2	27	5	-2	-2	32	5	7	3	10	-10	-1	11	-24	23	9	2	23	12	-4	-6	-8	7	-14	-4	-2	10	-5	-3	-4	-19	2	-2	-5	-10	-6	-1	papel
3	-5	-7	0	53	-20	-8	-21	17	0	-3	-1	-15	28	0	-11	-10	-32	-5	1	-7	1	0	12	12	-2	-4	-6	-20	4	-2	-6	0	10	-1	7	20	-12	5	9	1	46	16	-13	-33	-36	-4	-13	18	-53	-19	-1	-3	-23	-8	2	-6	18	21	11	34	59	5	-26	papel
1	1	-2	-2	26	-1	-5	-9	-10	-3	-1	-3	-27	-27	2	30	-15	0	-3	-5	-33	-40	-5	-11	-4	-5	-4	-3	2	-12	3	-12	10	2	0	2	2	12	-2	11	3	1	1	4	18	-9	-3	-16	-6	-3	-1	1	-8	6	0	2	0	-3	-4	-9	-24	-65	-17	-23	ok
-12	-9	11	15	27	56	55	13	14	12	-3	-1	-3	2	36	3	-30	0	-1	-4	-7	-4	0	3	14	12	0	1	0	-13	-57	-28	-11	-2	-1	1	-8	-5	-5	4	5	29	4	2	-3	-18	-16	0	-22	-32	-10	-16	-8	-1	2	-5	-29	-4	-6	-7	15	9	-26	-12	piedra
-17	7	9	8	20	-10	2	-2	-8	0	-1	1	-31	-17	-3	1	-26	-5	2	1	3	-7	-4	-15	12	6	-2	-5	-13	-12	-2	2	35	1	-7	-5	27	30	7	10	7	-3	1	1	-25	-20	-4	-13	-5	1	0	-1	22	18	15	19	-31	-3	2	2	-8	-10	-14	-17	tijeras
9	25	-4	-7	-5	15	30	-2	-4	-8	14	1	3	-15	-1	5	3	13	-2	-2	2	-5	7	-1	-5	-34	4	5	-2	-6	-24	-10	11	5	-1	-2	-4	-14	-39	15	-6	1	-5	1	1	6	61	1	-9	-7	-9	-3	-3	-13	-5	-16	7	6	5	-2	1	5	28	13	piedra
13	21	5	1	4	53	14	20	10	4	1	-1	12	26	10	12	-8	-15	-1	-2	-14	-33	-10	6	-12	-14	-4	-2	-15	-37	-13	-8	18	7	-2	1	27	4	1	0	8	4	-5	1	-4	13	-1	-10	1	6	1	-8	5	-15	-5	-3	-1	-14	9	2	-18	18	0	-25	papel
-10	-4	-7	10	5	3	41	-17	9	3	2	0	-7	-3	-46	21	-13	-5	-5	-9	-7	-7	10	0	-30	3	10	18	0	-1	13	6	32	-6	-5	-14	10	7	-5	2	-5	-3	-4	-5	-13	-12	-61	-25	-26	-1	-2	0	-4	10	-7	-6	26	0	-2	0	1	-8	33	26	piedra
-17	-9	-2	-4	20	29	-1	6	-6	11	3	1	-8	-27	-3	-5	28	0	-1	-2	-9	-17	-3	0	-1	-6	0	-8	7	27	-4	-4	-28	-1	-3	3	18	2	-3	-11	25	4	3	2	-45	-33	-3	5	-4	-3	-4	-5	23	23	1	-10	-1	4	1	3	-1	-34	1	11	tijeras
-40	12	4	1	-26	9	-70	-4	-8	-8	-3	5	13	-19	79	10	-6	0	0	-8	-7	-12	-47	-28	-1	0	0	-7	17	11	-13	-3	4	-1	-7	-2	9	0	70	31	6	8	-6	-3	-16	-6	-47	-12	-17	-18	8	0	-8	-10	-10	8	8	3	0	9	15	-5	-50	-13	piedra
4	7	1	2	-6	-18	5	2	-16	-3	-4	-1	0	23	3	-9	14	4	-3	-10	-6	9	-4	3	16	-10	-6	-5	-3	-49	-12	11	0	-10	-1	-7	-19	-3	2	-15	-16	31	3	9	21	44	8	8	5	-45	7	-3	-33	-14	3	11	-20	-15	-8	-1	14	-9	-19	-21	papel
-17	-4	7	6	11	32	19	-34	16	-7	-7	-12	14	7	-11	4	4	-18	2	16	-17	-38	-12	-22	-3	-9	-8	-14	-6	2	8	30	8	12	3	1	-6	-21	-9	-5	-17	-12	2	3	-2	-2	10	21	1	36	-7	-8	18	39	6	-2	1	-24	2	-6	-6	-29	-2	0	papel
4	2	-1	-4	-23	-29	1	-18	4	22	-6	1	0	-3	5	8	-4	-4	0	4	7	25	-10	-9	0	14	2	-1	6	-14	0	-4	-3	-20	2	-10	-10	-2	13	10	48	28	6	5	0	19	-14	5	-17	7	5	-2	3	-20	-2	6	15	-6	-11	0	23	34	0	-4	papel
16	10	-3	-14	-13	-3	56	-2	12	0	3	0	3	26	-31	-4	-23	-9	1	5	27	40	88	8	15	10	16	10	-20	-2	-10	-7	-35	-15	-8	-11	10	-40	-119	-35	19	1	1	0	-21	-47	-16	-7	-11	11	7	22	23	51	97	2	10	3	-3	-8	-21	24	10	9	piedra
11	1	1	4	-17	25	-6	-20	-19	3	-2	3	22	25	-5	-6	13	3	1	0	-3	-9	19	24	37	19	-1	-7	-1	-8	-5	7	0	-4	-4	-4	-3	6	-14	3	2	-3	1	0	1	-44	-3	-16	-5	14	4	-1	-11	23	2	7	7	0	-2	3	3	-5	-8	3	papel
-5	14	-3	9	12	-5	21	1	-4	-28	0	-6	10	3	-7	-7	0	-2	2	6	-14	7	6	1	-1	-21	-7	-7	-8	-19	-15	1	3	13	-4	-13	-19	-10	-14	-1	-7	-5	-2	6	9	-6	15	-3	4	-3	-6	-6	22	-1	-4	9	16	31	4	-1	-47	2	10	3	papel
1	-3	-2	1	17	6	-3	-6	8	0	2	1	15	9	-1	-1	-3	1	1	0	-5	-7	-3	-7	3	1	1	5	11	3	3	9	-5	0	-1	-1	7	-4	-2	-5	11	-5	1	-1	3	11	2	-1	-1	-4	-5	-3	10	7	2	-3	-5	-3	2	0	2	-21	1	-3	tijeras
2	-3	-3	1	11	1	14	-3	1	1	0	3	-4	-2	-13	-2	-7	-5	-1	-1	0	-6	-16	-10	1	-1	-2	-10	-12	-2	12	8	-1	0	0	11	12	1	-6	12	-3	-2	-5	-18	-12	1	-16	-16	2	-1	2	5	-4	0	19	3	-1	0	0	2	3	-2	-16	-11	piedra
-2	-1	-1	-4	5	-9	-3	-2	-12	-4	-4	-3	-7	-37	-10	-25	1	-3	-3	2	18	31	-6	2	5	1	2	0	-12	5	8	28	3	-1	-2	4	31	39	-3	-3	-6	-2	1	-3	-24	-11	-4	0	6	-2	-1	-2	-4	-39	-6	-6	3	2	1	1	16	12	3	-19	ok
-5	-9	-12	1	-3	42	7	-13	-25	25	11	3	10	-10	1	-13	2	-16	-2	2	-11	1	-3	-7	0	5	0	-2	2	6	1	-9	9	7	-1	-5	-18	-23	-5	-13	1	-21	-6	-3	18	13	-12	-4	-26	11	-7	-6	-8	-4	16	-9	15	2	8	5	9	26	3	4	papel
-8	-1	0	0	-5	-19	-5	-9	-1	-2	1	0	-4	-10	-1	7	6	-2	-2	-3	8	8	1	2	-3	1	1	0	34	76	2	-16	10	2	4	2	-26	-39	-4	5	-17	2	4	4	-17	-70	0	11	40	0	2	-1	8	0	2	12	-5	-2	-5	-3	1	-11	-4	-12	tijeras
-1	-2	0	-1	16	8	3	0	3	-1	2	6	3	22	8	-9	-5	-4	-4	-4	4	-5	-12	1	3	0	-1	4	7	8	-5	-3	3	0	-2	-8	-46	-32	-1	-13	2	-1	1	3	4	5	9	22	-1	0	-1	2	3	0	6	-1	-5	2	2	1	-14	-16	-6	3	ok
28	-1	3	6	-9	-2	6	16	-8	-2	3	9	1	-11	-101	0	-37	-3	-6	-27	22	13	51	-31	28	3	5	19	-20	-14	-65	-42	3	-1	-3	-19	6	-4	-98	-9	-47	-5	-6	-15	-19	-7	119	27	58	2	1	19	4	0	-57	-15	-8	5	3	-2	12	10	37	23	piedra
-10	3	3	-2	9	-3	-128	-23	11	5	2	13	-4	0	89	17	2	3	3	5	6	0	-18	-3	-67	0	3	3	-10	-14	-35	-6	58	-2	-7	-9	9	-2	8	-14	9	1	2	-2	-10	11	20	11	1	-3	-3	1	0	12	-19	-2	-6	1	0	0	-2	-2	-26	7	piedra
-3	2	-4	-1	16	10	-3	-5	21	5	0	3	-7	-15	1	-5	2	-1	-1	0	-6	27	0	-2	3	0	-2	1	-14	-18	1	1	2	-5	1	-1	5	2	-5	1	-16	-6	-2	-7	2	-9	-2	-7	2	-1	-1	0	-35	-28	-6	-2	-4	-3	-2	-3	9	1	-1	2	tijeras
-6	-3	-3	-3	-1	-4	-1	-4	0	0	-3	-5	-6	0	2	0	-4	-1	-1	3	5	13	3	10	-1	-1	1	3	4	-1	1	-1	-7	-3	-6	-6	51	42	2	-7	-17	2	11	15	-44	-81	-8	-15	3	1	-1	-1	-3	-8	7	41	42	4	0	-4	-31	-27	0	5	tijeras
36	19	-9	-9	-34	-9	1	19	-16	4	8	9	-24	3	-9	-11	21	19	-7	5	4	-4	1	9	-17	-6	6	-6	16	4	3	-10	12	-8	-4	-8	-23	-13	-21	-9	-31	-18	1	2	29	48	12	5	10	20	0	2	-14	12	-2	2	-17	-31	-9	-1	6	25	17	3	papel
75	6	6	7	3	1	72	30	-29	6	-1	0	3	8	-33	-17	15	-9	-10	0	-3	-26	19	-1	-3	-3	1	-2	-12	1	-80	-2	1	-1	0	-4	5	7	-39	3	-29	-5	5	-6	2	4	114	3	-11	19	-5	-1	-5	-2	-17	3	8	7	9	9	5	-2	0	0	piedra
-10	-3	-4	3	45	41	-1	-4	8	1	0	-4	-53	-32	2	-3	11	4	2	5	-7	-27	-2	-1	-18	-9	-2	-1	30	7	-2	-5	-36	0	-1	-6	-14	-11	-4	-7	59	5	0	0	15	17	3	14	-7	-4	-4	-4	1	12	-3	-7	1	0	-1	-2	-3	0	0	-3	tijeras
-10	-2	1	0	-11	5	-2	-3	7	-2	-3	0	14	7	0	1	5	-1	-2	0	6	13	2	4	-4	2	3	1	5	5	3	-3	-10	-6	2	9	17	-17	-3	-2	-22	-1	-3	-5	-32	-25	-2	-4	57	5	-1	-4	26	18	1	7	4	-1	0	1	21	3	-1	0	tijeras
30	14	4	13	-40	-32	14	16	-3	-6	3	4	-25	-44	-18	-10	-1	-2	0	3	17	-5	-3	16	-23	-5	-4	-11	12	-25	-12	-4	18	5	6	32	-11	-15	-6	6	1	-16	-16	-54	27	62	6	-2	0	2	5	13	-36	-95	-26	-5	1	1	-1	-3	14	75	12	0	ok
-8	-4	-1	2	6	-14	-9	-2	-6	11	0	-4	11	24	-2	11	18	-20	-6	-6	9	-13	-1	-2	-2	27	6	15	-5	62	21	9	-31	-32	14	5	-11	-34	2	-5	-4	-2	-4	-4	14	-7	-5	0	2	8	3	0	-25	-33	-1	-10	-7	-3	-9	-12	20	-6	-2	-5	papel
7	1	3	1	-3	2	-14	-3	-14	-1	0	6	3	-4	-8	2	-16	-3	-1	0	-6	-2	3	-13	-3	-1	-2	-4	1	-9	-20	-5	2	-2	-3	-1	-1	-4	-1	0	8	3	7	26	-4	-7	1	3	-2	-1	-6	-27	10	6	8	-3	-9	-2	-3	-20	-19	1	-8	0	piedra
-4	1	2	3	-5	3	1	0	-1	0	-3	-4	-19	-11	-1	3	-11	-3	-1	1	17	-1	-2	-5	-15	-2	-1	-1	-9	20	-1	0	-2	-2	-6	-8	10	10	-4	-6	1	-1	1	4	-13	-5	1	2	8	2	2	2	-11	-31	0	0	-15	-1	2	4	-8	-6	-4	-6	tijeras
