status;duration;credit.hist;purpose;credit.amo;savings;employed.time;installment;status.sex;debtors;residence.time;property;age;installment2;housing;num.credits;job;num.people;telephone;foreign;y
< 0 DM;24;existing credits paid back duly till now;car (used);2924;< 100 DM;1 <=  and < 4 years;3;male:single;guarantor;4;unknown/no property;63;bank;own;1;skilled employee/official;2;yes;yes;yes
< 0 DM;24;delay in paying off in the past;radio/television;1659;< 100 DM;< 1 year;4;female:divorced/separated/married;none;2;car or other;29;none;rent;1;unskilled - resident;1;yes;yes;no
no checking account;48;delay in paying off in the past;radio/television;7238;unknown/no savings account;>= 7 years;3;male:single;none;3;car or other;32;bank;own;2;skilled employee/official;2;none;yes;yes
no checking account;24;delay in paying off in the past;car (used);4679;< 100 DM;4 <=  and < 7 years;3;male:single;none;3;car or other;35;none;own;2;unskilled - resident;1;yes;yes;yes
0 <=  and < 200 DM;24;existing credits paid back duly till now;radio/television;3092;100 <=  and < 500 DM;< 1 year;3;male:married/widowed;none;2;car or other;22;none;rent;1;skilled employee/official;1;yes;yes;no
< 0 DM;6;existing credits paid back duly till now;education;448;< 100 DM;< 1 year;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;23;none;own;1;skilled employee/official;1;none;yes;no
no checking account;6;existing credits paid back duly till now;retraining;1238;unknown/no savings account;unemployed;4;male:single;none;4;building society savings agreement/life insurance;36;none;own;1;management/self-employed/;2;yes;yes;yes
0 <=  and < 200 DM;18;critical account;radio/television;1245;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;none;2;car or other;33;none;own;1;skilled employee/official;1;none;yes;no
< 0 DM;18;no credits taken/all credits paid back duly;furniture/equipment;3114;< 100 DM;< 1 year;1;female:divorced/separated/married;none;4;building society savings agreement/life insurance;26;none;rent;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;12;existing credits paid back duly till now;business;1037;100 <=  and < 500 DM;4 <=  and < 7 years;3;male:single;none;4;real estate;39;none;own;1;unskilled - resident;1;none;yes;yes
< 0 DM;15;critical account;furniture/equipment;1478;< 100 DM;>= 7 years;4;male:single;none;4;car or other;44;none;own;2;skilled employee/official;2;yes;yes;yes
0 <=  and < 200 DM;12;critical account;radio/television;3573;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;1;real estate;23;none;own;1;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;24;existing credits paid back duly till now;car (new);1201;< 100 DM;< 1 year;4;male:single;none;1;building society savings agreement/life insurance;26;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;30;existing credits paid back duly till now;furniture/equipment;3622;>= 1000 DM;>= 7 years;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;57;none;rent;2;skilled employee/official;1;yes;yes;yes
no checking account;15;delay in paying off in the past;furniture/equipment;960;>= 1000 DM;4 <=  and < 7 years;3;female:divorced/separated/married;none;2;building society savings agreement/life insurance;30;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;12;critical account;car (new);1163;500 <=  and < 1000 DM;1 <=  and < 4 years;4;male:single;none;4;real estate;44;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;6;delay in paying off in the past;car (new);1209;< 100 DM;unemployed;4;male:single;none;4;building society savings agreement/life insurance;47;none;own;1;management/self-employed/;1;yes;yes;no
no checking account;12;existing credits paid back duly till now;radio/television;3077;< 100 DM;1 <=  and < 4 years;2;male:single;none;4;car or other;52;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;10;existing credits paid back duly till now;car (new);1418;100 <=  and < 500 DM;1 <=  and < 4 years;3;male:single;none;2;real estate;35;none;rent;1;unskilled - resident;1;none;no;yes
0 <=  and < 200 DM;6;existing credits paid back duly till now;radio/television;368;unknown/no savings account;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;38;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;12;critical account;car (new);2122;< 100 DM;1 <=  and < 4 years;3;male:single;none;2;real estate;39;none;rent;2;unskilled - resident;2;none;no;yes
< 0 DM;24;existing credits paid back duly till now;furniture/equipment;2996;unknown/no savings account;1 <=  and < 4 years;2;male:married/widowed;none;4;car or other;20;none;own;1;skilled employee/official;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;car (new);3123;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;building society savings agreement/life insurance;27;none;own;1;skilled employee/official;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;car (new);1207;< 100 DM;< 1 year;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;24;none;rent;1;skilled employee/official;1;none;yes;no
>= 200 DM;15;critical account;car (used);2360;500 <=  and < 1000 DM;1 <=  and < 4 years;2;male:single;none;2;car or other;36;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;15;all credits at this bank paid back duly;car (new);6850;100 <=  and < 500 DM;unemployed;1;male:single;none;2;building society savings agreement/life insurance;34;none;own;1;management/self-employed/;2;yes;yes;no
no checking account;24;existing credits paid back duly till now;radio/television;1413;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;none;2;building society savings agreement/life insurance;28;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;36;existing credits paid back duly till now;car (used);4686;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;unknown/no property;32;none;for free;1;management/self-employed/;1;yes;yes;yes
>= 200 DM;15;existing credits paid back duly till now;business;2687;< 100 DM;4 <=  and < 7 years;2;male:single;none;4;building society savings agreement/life insurance;26;none;rent;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;12;delay in paying off in the past;radio/television;585;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;co-applicant;4;real estate;20;none;rent;2;skilled employee/official;1;none;yes;yes
no checking account;24;existing credits paid back duly till now;car (new);2255;unknown/no savings account;< 1 year;4;male:single;none;1;building society savings agreement/life insurance;54;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;6;critical account;car (new);609;< 100 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;3;building society savings agreement/life insurance;37;none;own;2;skilled employee/official;1;none;no;yes
< 0 DM;6;critical account;car (new);1361;< 100 DM;< 1 year;2;male:single;none;4;real estate;40;none;own;1;unskilled - resident;2;none;no;yes
no checking account;36;critical account;furniture/equipment;7127;< 100 DM;< 1 year;2;female:divorced/separated/married;none;4;building society savings agreement/life insurance;23;none;rent;2;skilled employee/official;1;yes;yes;no
< 0 DM;6;existing credits paid back duly till now;car (new);1203;100 <=  and < 500 DM;>= 7 years;3;male:single;none;2;building society savings agreement/life insurance;43;none;own;1;skilled employee/official;1;yes;yes;yes
< 0 DM;18;existing credits paid back duly till now;radio/television;3190;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;2;real estate;24;none;own;1;skilled employee/official;1;none;yes;no
no checking account;24;existing credits paid back duly till now;car (used);3488;100 <=  and < 500 DM;4 <=  and < 7 years;3;female:divorced/separated/married;none;4;car or other;23;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;18;existing credits paid back duly till now;radio/television;1113;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;guarantor;4;real estate;26;none;own;1;unskilled - resident;2;none;yes;yes
0 <=  and < 200 DM;26;existing credits paid back duly till now;car (used);7966;< 100 DM;< 1 year;2;male:single;none;3;car or other;30;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;15;critical account;education;1532;100 <=  and < 500 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;3;car or other;31;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;4;critical account;radio/television;1503;< 100 DM;4 <=  and < 7 years;2;male:single;none;1;real estate;42;none;own;2;unskilled - resident;2;none;yes;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;education;2273;< 100 DM;4 <=  and < 7 years;3;male:single;none;1;car or other;32;none;own;2;skilled employee/official;2;none;yes;yes
0 <=  and < 200 DM;15;existing credits paid back duly till now;car (new);2631;100 <=  and < 500 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;4;car or other;28;none;rent;2;skilled employee/official;1;yes;yes;no
no checking account;12;delay in paying off in the past;car (used);1503;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;none;4;real estate;41;none;rent;1;skilled employee/official;1;none;yes;yes
no checking account;24;existing credits paid back duly till now;radio/television;1311;100 <=  and < 500 DM;4 <=  and < 7 years;4;male:married/widowed;none;3;building society savings agreement/life insurance;26;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;24;existing credits paid back duly till now;radio/television;3105;unknown/no savings account;< 1 year;4;male:single;none;2;car or other;25;none;own;2;skilled employee/official;1;none;yes;yes
< 0 DM;6;existing credits paid back duly till now;car (new);1374;unknown/no savings account;unemployed;4;female:divorced/separated/married;none;3;building society savings agreement/life insurance;75;none;own;1;management/self-employed/;1;yes;yes;yes
< 0 DM;48;existing credits paid back duly till now;car (new);7763;< 100 DM;>= 7 years;4;male:single;none;4;unknown/no property;42;bank;for free;1;management/self-employed/;1;none;yes;no
>= 200 DM;18;existing credits paid back duly till now;furniture/equipment;3049;< 100 DM;< 1 year;1;female:divorced/separated/married;none;1;building society savings agreement/life insurance;45;stores;own;1;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;radio/television;1534;< 100 DM;< 1 year;1;male:married/widowed;none;1;real estate;23;none;rent;1;skilled employee/official;1;none;yes;no
no checking account;24;delay in paying off in the past;car (new);2032;< 100 DM;>= 7 years;4;male:single;none;4;unknown/no property;60;none;for free;2;skilled employee/official;1;yes;yes;yes
< 0 DM;30;existing credits paid back duly till now;furniture/equipment;6350;unknown/no savings account;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;31;none;own;1;skilled employee/official;1;none;yes;no
>= 200 DM;18;existing credits paid back duly till now;furniture/equipment;2864;< 100 DM;1 <=  and < 4 years;2;male:single;none;1;real estate;34;none;own;1;unskilled - resident;2;none;yes;no
< 0 DM;24;delay in paying off in the past;car (new);1333;< 100 DM;unemployed;4;male:single;none;2;real estate;43;none;for free;2;skilled employee/official;2;none;yes;no
no checking account;24;critical account;car (new);2022;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;4;car or other;37;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;24;existing credits paid back duly till now;radio/television;1552;< 100 DM;4 <=  and < 7 years;3;male:single;none;1;car or other;32;bank;own;1;skilled employee/official;2;none;yes;yes
< 0 DM;12;all credits at this bank paid back duly;radio/television;626;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;4;real estate;24;bank;own;1;unskilled - resident;1;none;yes;no
no checking account;6;all credits at this bank paid back duly;radio/television;1750;500 <=  and < 1000 DM;>= 7 years;2;male:single;none;4;building society savings agreement/life insurance;45;bank;own;1;unskilled - resident;2;none;yes;yes
< 0 DM;48;existing credits paid back duly till now;radio/television;6999;< 100 DM;4 <=  and < 7 years;1;male:married/widowed;guarantor;1;real estate;34;none;own;2;skilled employee/official;1;yes;yes;no
0 <=  and < 200 DM;9;existing credits paid back duly till now;education;1199;< 100 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;67;none;own;2;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;radio/television;1331;< 100 DM;< 1 year;2;male:single;none;1;car or other;22;stores;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;18;no credits taken/all credits paid back duly;car (new);2278;100 <=  and < 500 DM;< 1 year;3;female:divorced/separated/married;none;3;car or other;28;none;own;2;skilled employee/official;1;none;yes;no
no checking account;21;no credits taken/all credits paid back duly;car (new);5003;unknown/no savings account;1 <=  and < 4 years;1;female:divorced/separated/married;none;4;building society savings agreement/life insurance;29;bank;own;2;skilled employee/official;1;yes;yes;no
< 0 DM;24;all credits at this bank paid back duly;furniture/equipment;3552;< 100 DM;4 <=  and < 7 years;3;male:single;none;4;car or other;27;bank;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;18;critical account;furniture/equipment;1928;< 100 DM;< 1 year;2;male:single;none;2;real estate;31;none;own;2;unskilled - resident;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;car (used);2964;unknown/no savings account;>= 7 years;4;male:single;none;4;unknown/no property;49;bank;for free;1;skilled employee/official;2;yes;yes;yes
< 0 DM;24;all credits at this bank paid back duly;radio/television;1546;< 100 DM;4 <=  and < 7 years;4;male:single;guarantor;4;car or other;24;bank;rent;1;unskilled - resident;1;none;yes;no
>= 200 DM;6;delay in paying off in the past;radio/television;683;< 100 DM;< 1 year;2;female:divorced/separated/married;none;1;building society savings agreement/life insurance;29;bank;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;car (new);12389;unknown/no savings account;1 <=  and < 4 years;1;male:single;none;4;unknown/no property;37;none;for free;1;skilled employee/official;1;yes;yes;no
0 <=  and < 200 DM;24;delay in paying off in the past;business;4712;unknown/no savings account;1 <=  and < 4 years;4;male:single;none;2;building society savings agreement/life insurance;37;bank;own;2;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;24;delay in paying off in the past;radio/television;1553;100 <=  and < 500 DM;4 <=  and < 7 years;3;female:divorced/separated/married;none;2;building society savings agreement/life insurance;23;none;rent;2;skilled employee/official;1;yes;yes;yes
no checking account;24;critical account;radio/television;2578;>= 1000 DM;>= 7 years;2;male:single;none;2;car or other;34;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;48;existing credits paid back duly till now;radio/television;6758;< 100 DM;1 <=  and < 4 years;3;female:divorced/separated/married;none;2;car or other;31;none;own;1;skilled employee/official;1;yes;yes;no
< 0 DM;24;existing credits paid back duly till now;furniture/equipment;3234;< 100 DM;< 1 year;4;female:divorced/separated/married;none;4;real estate;23;none;rent;1;unskilled - resident;1;yes;yes;no
no checking account;30;critical account;radio/television;5954;< 100 DM;4 <=  and < 7 years;3;male:single;co-applicant;2;car or other;38;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;24;existing credits paid back duly till now;car (used);5433;unknown/no savings account;unemployed;2;female:divorced/separated/married;none;4;building society savings agreement/life insurance;26;none;rent;1;management/self-employed/;1;yes;yes;yes
< 0 DM;15;existing credits paid back duly till now;business;806;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;22;none;own;1;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;9;existing credits paid back duly till now;radio/television;1082;< 100 DM;>= 7 years;4;male:single;none;4;car or other;27;none;own;2;unskilled - resident;1;none;yes;yes
no checking account;15;critical account;furniture/equipment;2788;< 100 DM;4 <=  and < 7 years;2;female:divorced/separated/married;co-applicant;3;car or other;24;bank;own;2;skilled employee/official;1;none;yes;yes
no checking account;24;critical account;education;1927;unknown/no savings account;1 <=  and < 4 years;3;female:divorced/separated/married;none;2;car or other;33;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;24;existing credits paid back duly till now;retraining;937;< 100 DM;< 1 year;4;male:married/widowed;none;3;car or other;27;none;own;2;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;18;critical account;car (new);1056;< 100 DM;>= 7 years;3;male:single;guarantor;3;real estate;30;bank;own;2;skilled employee/official;1;none;yes;no
no checking account;9;existing credits paid back duly till now;furniture/equipment;1388;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;2;real estate;26;none;rent;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;repairs;2384;< 100 DM;< 1 year;4;male:single;none;1;unknown/no property;33;none;rent;1;unskilled - resident;1;none;yes;no
no checking account;12;existing credits paid back duly till now;car (new);2133;unknown/no savings account;>= 7 years;4;female:divorced/separated/married;none;4;unknown/no property;52;none;for free;1;management/self-employed/;1;yes;yes;yes
< 0 DM;18;existing credits paid back duly till now;furniture/equipment;2039;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;4;real estate;20;bank;rent;1;skilled employee/official;1;none;yes;no
< 0 DM;9;critical account;car (new);2799;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;real estate;36;none;rent;2;skilled employee/official;2;none;yes;yes
< 0 DM;18;existing credits paid back duly till now;domestic appliances;1217;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;none;3;real estate;47;none;own;1;unskilled - resident;1;yes;yes;no
< 0 DM;12;critical account;furniture/equipment;2246;< 100 DM;>= 7 years;3;male:single;none;3;building society savings agreement/life insurance;60;none;own;2;skilled employee/official;1;none;yes;no
< 0 DM;12;critical account;radio/television;385;< 100 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;3;real estate;58;none;own;4;unskilled - resident;1;yes;yes;yes
0 <=  and < 200 DM;24;delay in paying off in the past;car (new);1965;unknown/no savings account;1 <=  and < 4 years;4;female:divorced/separated/married;none;4;car or other;42;none;rent;2;skilled employee/official;1;yes;yes;yes
no checking account;21;existing credits paid back duly till now;business;1572;>= 1000 DM;>= 7 years;4;female:divorced/separated/married;none;4;real estate;36;bank;own;1;unskilled - resident;1;none;yes;yes
< 0 DM;24;all credits at this bank paid back duly;others;1358;unknown/no savings account;>= 7 years;4;male:single;none;3;car or other;40;stores;own;1;management/self-employed/;1;yes;yes;no
0 <=  and < 200 DM;6;all credits at this bank paid back duly;car (new);931;100 <=  and < 500 DM;< 1 year;1;female:divorced/separated/married;none;1;building society savings agreement/life insurance;32;stores;own;1;unskilled - resident;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;car (new);1442;< 100 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;4;car or other;23;none;rent;2;skilled employee/official;1;none;yes;no
no checking account;18;critical account;car (new);2775;< 100 DM;4 <=  and < 7 years;2;male:single;none;2;building society savings agreement/life insurance;31;bank;own;2;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;7;existing credits paid back duly till now;radio/television;2329;< 100 DM;< 1 year;1;female:divorced/separated/married;guarantor;1;real estate;45;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;9;existing credits paid back duly till now;furniture/equipment;918;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;1;building society savings agreement/life insurance;30;none;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;24;all credits at this bank paid back duly;education;1837;< 100 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;4;unknown/no property;34;bank;for free;1;unskilled - resident;1;none;yes;no
>= 200 DM;10;existing credits paid back duly till now;furniture/equipment;1275;< 100 DM;< 1 year;4;female:divorced/separated/married;none;2;building society savings agreement/life insurance;23;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;18;existing credits paid back duly till now;radio/television;2051;< 100 DM;< 1 year;4;male:single;none;1;real estate;33;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;15;existing credits paid back duly till now;car (used);1300;unknown/no savings account;>= 7 years;4;male:single;none;4;unknown/no property;45;bank;for free;1;skilled employee/official;2;none;yes;yes
< 0 DM;12;existing credits paid back duly till now;domestic appliances;741;100 <=  and < 500 DM;unemployed;4;female:divorced/separated/married;none;3;building society savings agreement/life insurance;22;none;own;1;skilled employee/official;1;none;yes;no
>= 200 DM;10;existing credits paid back duly till now;car (new);1240;100 <=  and < 500 DM;>= 7 years;1;female:divorced/separated/married;none;4;unknown/no property;48;none;for free;1;unskilled - resident;2;none;yes;no
< 0 DM;24;all credits at this bank paid back duly;car (used);3632;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;guarantor;4;car or other;22;bank;rent;1;skilled employee/official;1;none;no;yes
no checking account;18;delay in paying off in the past;furniture/equipment;1808;< 100 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;1;real estate;22;none;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;48;no credits taken/all credits paid back duly;business;12204;unknown/no savings account;1 <=  and < 4 years;2;male:single;none;2;car or other;48;bank;own;1;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;60;delay in paying off in the past;radio/television;9157;unknown/no savings account;1 <=  and < 4 years;2;male:single;none;2;unknown/no property;27;none;for free;1;management/self-employed/;1;none;yes;yes
< 0 DM;6;critical account;car (new);3676;< 100 DM;1 <=  and < 4 years;1;male:single;none;3;real estate;37;none;rent;3;skilled employee/official;2;none;yes;yes
no checking account;12;existing credits paid back duly till now;car (new);640;< 100 DM;1 <=  and < 4 years;4;male:divorced/separated;none;2;real estate;49;none;own;1;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;21;critical account;business;3652;< 100 DM;4 <=  and < 7 years;2;male:single;none;3;building society savings agreement/life insurance;27;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;48;existing credits paid back duly till now;business;3914;unknown/no savings account;1 <=  and < 4 years;4;male:divorced/separated;none;2;real estate;38;bank;own;1;skilled employee/official;1;none;yes;no
< 0 DM;12;existing credits paid back duly till now;furniture/equipment;1858;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;car or other;22;none;rent;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;9;all credits at this bank paid back duly;car (new);1437;100 <=  and < 500 DM;4 <=  and < 7 years;2;male:single;none;3;unknown/no property;29;none;own;1;skilled employee/official;1;none;yes;no
no checking account;9;existing credits paid back duly till now;education;3832;unknown/no savings account;>= 7 years;1;male:single;none;4;real estate;64;none;own;1;unskilled - resident;1;none;yes;yes
< 0 DM;24;existing credits paid back duly till now;radio/television;3660;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;4;car or other;28;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;18;all credits at this bank paid back duly;furniture/equipment;1553;< 100 DM;1 <=  and < 4 years;4;male:single;none;3;car or other;44;bank;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;15;existing credits paid back duly till now;radio/television;1444;unknown/no savings account;< 1 year;4;male:single;none;1;building society savings agreement/life insurance;23;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;9;existing credits paid back duly till now;furniture/equipment;1980;< 100 DM;< 1 year;2;female:divorced/separated/married;co-applicant;2;car or other;19;none;rent;2;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;24;existing credits paid back duly till now;car (new);1355;< 100 DM;< 1 year;3;female:divorced/separated/married;none;4;car or other;25;none;own;1;unskilled - resident;1;yes;yes;no
no checking account;12;existing credits paid back duly till now;education;1393;< 100 DM;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;47;bank;own;3;skilled employee/official;2;yes;yes;yes
no checking account;60;delay in paying off in the past;radio/television;15653;< 100 DM;4 <=  and < 7 years;2;male:single;none;4;car or other;21;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;12;existing credits paid back duly till now;radio/television;1493;< 100 DM;< 1 year;4;female:divorced/separated/married;none;3;car or other;34;none;own;1;skilled employee/official;2;none;yes;yes
< 0 DM;42;delay in paying off in the past;radio/television;4370;< 100 DM;4 <=  and < 7 years;3;male:single;none;2;building society savings agreement/life insurance;26;bank;own;2;skilled employee/official;2;yes;yes;no
< 0 DM;18;existing credits paid back duly till now;education;750;< 100 DM;unemployed;4;female:divorced/separated/married;none;1;real estate;27;none;own;1;unemployed/unskilled - non-resident;1;none;yes;no
0 <=  and < 200 DM;15;existing credits paid back duly till now;repairs;1308;< 100 DM;>= 7 years;4;male:single;none;4;car or other;38;none;own;2;unskilled - resident;1;none;yes;yes
no checking account;24;critical account;radio/television;1851;< 100 DM;4 <=  and < 7 years;4;male:married/widowed;guarantor;2;car or other;33;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;36;delay in paying off in the past;business;7980;unknown/no savings account;< 1 year;4;male:single;none;4;car or other;27;none;rent;2;skilled employee/official;1;yes;yes;no
< 0 DM;30;no credits taken/all credits paid back duly;furniture/equipment;4583;< 100 DM;1 <=  and < 4 years;2;male:divorced/separated;guarantor;2;real estate;32;none;own;2;skilled employee/official;1;none;yes;yes
>= 200 DM;24;existing credits paid back duly till now;car (new);947;< 100 DM;4 <=  and < 7 years;4;male:single;none;3;unknown/no property;38;bank;for free;1;skilled employee/official;2;none;yes;no
< 0 DM;12;existing credits paid back duly till now;education;684;< 100 DM;1 <=  and < 4 years;4;male:single;none;4;car or other;40;none;rent;1;unskilled - resident;2;none;yes;no
0 <=  and < 200 DM;12;existing credits paid back duly till now;furniture/equipment;1922;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;building society savings agreement/life insurance;37;none;own;1;unskilled - resident;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;car (new);2303;< 100 DM;>= 7 years;4;male:single;co-applicant;1;real estate;45;none;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;36;delay in paying off in the past;car (new);8086;100 <=  and < 500 DM;>= 7 years;2;male:single;none;4;car or other;42;none;own;4;management/self-employed/;1;yes;yes;no
no checking account;24;critical account;car (used);2346;< 100 DM;4 <=  and < 7 years;4;male:single;none;3;car or other;35;none;own;2;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;car (new);888;< 100 DM;>= 7 years;4;male:single;none;4;car or other;41;bank;own;1;unskilled - resident;2;none;yes;no
no checking account;48;existing credits paid back duly till now;radio/television;10222;unknown/no savings account;4 <=  and < 7 years;4;male:single;none;3;car or other;37;stores;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;18;critical account;furniture/equipment;6361;< 100 DM;>= 7 years;2;male:single;none;1;unknown/no property;41;none;own;1;skilled employee/official;1;yes;yes;yes
< 0 DM;12;existing credits paid back duly till now;car (new);900;unknown/no savings account;1 <=  and < 4 years;4;male:married/widowed;none;2;car or other;23;none;own;1;skilled employee/official;1;none;yes;no
no checking account;21;existing credits paid back duly till now;furniture/equipment;2241;< 100 DM;>= 7 years;4;male:single;none;2;real estate;50;none;own;2;skilled employee/official;1;none;yes;yes
>= 200 DM;6;critical account;education;1047;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;4;building society savings agreement/life insurance;50;none;own;1;unskilled - resident;1;none;yes;yes
no checking account;24;critical account;others;6314;< 100 DM;unemployed;4;male:single;co-applicant;2;unknown/no property;27;bank;own;2;management/self-employed/;1;yes;yes;yes
no checking account;48;all credits at this bank paid back duly;business;3609;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;1;real estate;27;stores;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;12;critical account;car (new);4843;< 100 DM;>= 7 years;3;male:single;co-applicant;4;building society savings agreement/life insurance;43;none;rent;2;skilled employee/official;1;yes;yes;no
>= 200 DM;30;critical account;radio/television;3017;< 100 DM;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;47;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;24;critical account;business;4139;100 <=  and < 500 DM;1 <=  and < 4 years;3;male:single;none;3;building society savings agreement/life insurance;27;none;own;2;unskilled - resident;1;yes;yes;yes
no checking account;36;existing credits paid back duly till now;business;5742;100 <=  and < 500 DM;4 <=  and < 7 years;2;male:single;none;2;car or other;31;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;60;existing credits paid back duly till now;car (new);10366;< 100 DM;>= 7 years;2;male:single;none;4;building society savings agreement/life insurance;42;none;own;1;management/self-employed/;1;yes;yes;yes
no checking account;30;critical account;radio/television;4530;< 100 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;4;car or other;26;none;rent;1;management/self-employed/;1;yes;yes;yes
no checking account;24;critical account;furniture/equipment;5150;< 100 DM;>= 7 years;4;male:single;none;4;car or other;33;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;72;existing credits paid back duly till now;radio/television;5595;100 <=  and < 500 DM;1 <=  and < 4 years;2;male:married/widowed;none;2;car or other;24;none;own;1;skilled employee/official;1;none;yes;no
